,Symbol,Name,Market sector,Market segment,Profit - pre tax (m),Profit - retained (m),Turnover (m),Attributable Profit,Market segment
249,"BARK","Barkby Group Plc",AMQ1,ASQ1,"-4.38","-4.21",15.14,"-4.21",
250,"BASC","Brown Advisory Us Smaller Companies Plc",SSC6,SSMM,"-0.28","-0.46",,"-0.46",
251,"BASK","Baskerville Capital Plc",SQS3,SSQ3,"-0.24","-0.24",,"-0.24",
252,"BATS","British American Tobacco Plc",FE10,SET1,9163.00,1897.00,25684.00,6801.00,
253,"BAY","Bay Capital Plc",SQS3,SSQ3,"-0.31","-0.31",,"-0.31",
254,"BBA","Bba Aviation Plc",F25F,STMM,115.43,"-2.43",1840.66,107.90,
255,"BBB","Bigblu Broadband Plc",AMQ1,ASQ1,"-1.70",26.68,27.07,26.68,
256,"BBGI","Bbgi Global Infrastructure S.a.",F25F,STMM,60.70,10.04,,58.00,
257,"BBH","Bellevue Healthcare Trust Plc",F25T,STMM,1.02,"-28.93",4.26,0.36,
258,"BBOX","Tritax Big Box Reit Plc",F25F,STMM,971.10,858.30,184.70,972.60,
259,"BBSN","Brave Bison Group Plc",AMQ1,ASQ1,0.46,0.46,21.66,0.46,
260,"BBY","Balfour Beatty Plc",F25F,STMM,87.00,111.00,8263.00,140.00,
261,"BBYB","Balfour B.10tqp",SQCL,SSX3,87.00,111.00,8263.00,140.00,
262,"BC12","Better Capital Pcc Limited",SQQ3,SSQ3,"-42.01","-42.01",,"-42.01",
263,"BC24","Ashpol 10%prf",STBL,MISL,"-42.01","-42.01",,"-42.01",
264,"BCA","Bca Marketplace Plc",ON5,SET3,89.50,"-2.90",3028.00,68.50,
265,"BCAP","Better Capital Pcc Limited",SQQ3,SSQ3,"-42.01","-42.01",,"-42.01",
266,"BCE","Beacon Energy Plc",AMQ1,ASQ1,"-42.01","-42.01",,"-42.01",
267,"BCG","Baltic Classifieds Group Plc",F25T,STMM,2.05,2.01,42.74,2.01,
268,"BCN","Bacanora Lithium Plc",AMQ1,ASQ1,"-9.57","-12.60",,"-12.60",
269,"BCNA","Bacanora Lithium Plc",AIMN,ASXN,"-9.57","-12.60",,"-12.60",
270,"BCPT","Balanced Commercial Property Trust Limited",F25F,STMM,156.02,123.12,55.84,156.57,
271,"BDEV","Barratt Developments Plc",FS10,SET1,812.20,583.50,4811.70,659.80,
